一个	yi2'ge4
哀号	ai1'hao2
哀恫	ai1'tong1
品度	pin3'duo4
品弄	pin3'nong4
品相	pin3'xiang4
品种	pin3'zhong3
品行	pin3'xing2
品行	pin3'xing4
品调	pin3'diao4
品量	pin3'liang2
哄人	hong3'ren2
哄传	hong1'chuan2
哄劝	hong3'quan4
哄动	hong1'dong4
哄堂	hong1'tang2
哄弄	hong3'nong4
哄抢	hong1'qiang3
哄抬	hong1'tai2
哄然	hong1'ran2
哄瞒	hong3'man2
哄笑	hong1'xiao4
哄赚	hong3'zuan4
哄骗	hong3'pian4
哆嗦	duo1'suo5
哆张	che3'zhang1
哇塞	wa1'sai1
哈吉	ha3'ji2
哈啰	ha1'luo2
哈喇	ha1'la5
哈喇	ka1'la5
哈巴	ha3'ba5
哈拉	ha1'la5
哈辣	ha1'la5
哈达	ha1'da2
哈达	ha3'da2
哈迪	ha3'di2
响应	xiang3'ying4
响度	xiang3'du4
哎呀	ai1'ya1
哎哟	ai1'yao1
哎哟	ai1'yo1
哏哏	hen1'hen1
哏毒	hen1'du2
哑剧	ya3'ju4
哑口	ya3'kou3
哑咤	ya1'zha4
哑咽	ya1'ye4
哑哑	e4'e4
哑哑	ya1'ya1
哑嗓	ya3'sang3
哑声	ya3'sheng1
哑子	ya3'zi5
哑巴	ya3'ba5
哑戏	ya3'xi4
哑板	ya3'ban3
哑炮	ya3'pao4
哑点	ya3'dian3
哑然	e4'ran2
哑穴	ya3'xue2
哑谜	ya3'mi2
哑酒	ya3'jiu3
哑铃	ya3'ling2
哑鼓	ya3'gu3
哓咋	xiao1'zha4
哗变	hua2'bian4
哗哗	hua1'hua1
哗啦	hua1'la1
哗啦	hua2'la5
哗然	hua2'ran2
哗笑	hua2'xiao4
哤聒	mang2'gua1
哥儿	ge1'r5
哥哥	ge1'ge5
哥子	ge1'zi5
哦呀	o2'ya1
哦呵	o2'he1
哦哟	o2'yao1
哦诗	e2'shi1
哨卡	shao4'qia3
哨子	shao4'zi5
哩啰	li1'luo1
哩噜	li1'lu1
哩𪡏		li1'lian2
哪个	na3'ge5
哪些	na3'xie1
哪儿	na3'r5
哪吒	ne2'zha5
哪吒	nuo2'zha4
哪怕	na3'pa4
哪知	na3'zhi1
哪里	na3'li3
哫訾	zu2'zi1
哭丧	ku1'sang1
哭临	ku1'lin4
哭调	ku1'diao4
哮吼	xiao4'hou3
哮喘	xiao1'chuan3
哮喘	xiao4'chuan3
哮阚	xiao1'han3
哮鸣	xiao4'ming2
哱啰	po4'luo2
哱息	po4'xi2
哼唧	heng1'ji5
哽咽	geng3'ye4
哽结	geng3'jie2
唁劳	yan4'lao4
唆弄	suo1'nong4
唆调	suo1'tiao2
唉呀	ai1'ya1
唉唉	ai1'ai1
唉唷	ai1'yo1
唉姐	ai1'jie3
唐乐	tang2'yue4
唐卡	tang2'ka3
唐塞	tang2'se4
唐朝	tang2'chao2
唐突	tang2'tu2
唠叨	lao2'dao5
唠唠	lao2'lao2
唠嗑	lao2'ke4
唠扯	lao2'che3
唢呐	suo3'na4
唤头	huan4'tou5
唧咕	ji1'gu5
唧哝	ji1'nong5
唧唧	ji2'ji2
唧啧	ji2'ze2
唧嗾	ji2'sou3
唫嗻	yin2'zhe4
唯唯	wei3'wei3
唯识	wei2'shi4
唯诺	wei3'nuo4
唱和	chang4'he4
唱片	chang4'pian4
唱赚	chang4'zhuan4
唵噆	an3'zan3
唼佞	qie4'ning4
唼唼	sha4'sha4
唼喋	sha4'zha2
唼气	sha4'qi4
唼眼	sha4'yan3
唼血	sha4'xue4
唾沫	tuo4'mo5
唿喇	hu1'la3
啁哳	zhou1'zha2
啁噍	zhou1'jiu1
啅啅	zhuo2'zhuo2
啅噪	zhuo2'zao4
商圈	shang1'quan1
商数	shang1'shu4
商朝	shang1'chao2
商行	shang1'hang2
商调	shang1'diao4
商贾	shang1'gu3
商都	shang1'du1
商量	shang1'liang5
啊呀	a1'ya1
啊哈	a1'ha1
啊哟	a1'yao1
啊哟	a1'yo5
啊唷	a1'yo1
啑喋	sha4'zha2
啑血	jie2'xue4
啜哄	chuo4'hong3
啜茗	chuo4'ming3
啜赚	chuo4'zuan4
啥子	sha2'zi5
啪啦	pa1'la5
啪嗒	pa1'da1
啪嚓	pa1'ca1
啫哩	zhe3'li1
啬刻	se4'ke5
啭喉	zhuan3'hou2
啯哝	guo1'nong5
啯啅	guo1'zhuo5
啰唆	luo1'suo1
啰唕	luo2'zao4
啰嗦	luo1'suo5
啰苏	luo1'su1
啲咑	di1'da3
啴啴	chan3'chan3
啴啴	tan1'tan1
啴啴	tan1'tan1
啴缓	chan3'huan3
啴缓	tan1'huan3
啵啵	bo1'bo1
啷铛	lang1'dang1
啾唧	jiu1'ji2
喀喀	ke4'ke4
喀血	ke4'xie3
喁喁	yong2'yong2
喁喁	yu2'yu2
善待	shan4'dai4
善恶	shan4'e4
善行	shan4'xing2
善行	shan4'xing4
善贾	shan4'gu3
善贾	shan4'jia4
喇叭	la3'ba5
喇合	la3'he2
喇嘛	la3'ma5
喇嘴	la3'zui3
喉咙	hou2'long5
喉咽	hou2'yan1
喉片	hou2'pian4
喉结	hou2'jie2
喋呷	die2'xia2
喏喏	nuo4'nuo4
喑哑	yin1'ya3
喓喝	yao1'he5
喔呀	o1'ya1
喔咿	wo4'yi1
喔哟	o1'yao1
喔唷	o1'yo1
喔喔	o1'o1
喔喔	wo4'wo4
喔嚄	o1'huo4
喘咳	chuan3'ke2
喘息	chuan3'xi2
喙子	hui4'zi5
喙息	hui4'xi2
喜乐	xi3'le4
喜好	xi3'hao4
喜子	xi3'zi5
喜帖	xi3'tie1
喜帖	xi3'tie3
喜得	xi3'de2
喜恶	xi3'e4
喜欢	xi3'huan1
喜欢	xi3'huan5
喜洽	xi3'xia2
喜脉	xi3'mai4
喜钱	xi3'qian2
喜钱	xi3'qian5
喜鹊	xi3'qiao5
喜鹊	xi3'que4
喝令	he4'ling4
喝住	he4'zhu4
喝参	he4'can1
喝吆	he4'yao1
喝命	he4'ming4
喝啰	he4'luo2
喝彩	he4'cai3
喝掇	he4'duo2
喝探	he4'tan4
喝斥	he4'chi4
喝止	he4'zhi3
喝礼	he4'li3
喝道	he4'dao4
喝采	he4'cai3
喧哄	xuan1'hong1
喧哗	xuan1'hua2
喳喳	zha1'zha1
喷吐	pen1'tu3
喷子	pen1'zi5
喷薄	pen1'bo2
喷香	pen4'xiang1
喷鼻	pen4'bi2
喽啰	lou2'luo2
喽喽	lou2'lou2
喽子	lou2'zi5
嗄程	sha4'cheng2
嗄饭	sha4'fan4
嗌塞	yi4'se4
嗑嗑	he2'he2
嗒丧	ta4'sang4
嗓子	sang3'zi5
嗔喝	chen1'he4
嗛嗛	qian3'qian3
嗛志	qian1'zhi4
嗜好	shi4'hao4
嗟乎	jie1'hu1
嗟叹	jie1'tan4
嗟吁	jie1'xu1
嗟呀	jie1'ya1
嗟嗟	jie1'jie1
嗟夫	jie1'fu2
嗟异	jie1'yi4
嗟怨	jie1'yuan4
嗟悔	jie1'hui3
嗟悼	jie1'dao4
嗟愤	jie1'fen4
嗟讶	jie1'ya4
嗟重	jie1'zhong4
嗢咽	wa4'yan4
嗣息	si4'xi2
嗣适	si4'di2
嗨哟	hai1'yao1
嗫呫	nie4'tie4
嗳呀	ai4'ya1
嗳哟	ai4'yao1
嗳唷	ai4'yo1
嗳气	ai4'qi4
嗼寂	mo4'ji2
嘀咕	di2'gu5
嘀嗒	di1'da1
嘈聒	cao2'gua1
嘉兴	jia1'xing1
嘌呤	piao1'ling2
嘌呤	piao4'ling4
嘌唱	piao1'chang4
嘎叭	ga1'ba1
嘎吱	ga1'zhi1
嘎啦	ga1'la1
嘎啦	ga1'la5
嘎啦	ga2'la5
嘎嘎	ga1'ga1
嘎巴	ga1'ba5
嘎然	ga1'ran2
嘎调	ga2'diao4
嘏命	gu3'ming4
嘑头	hu1'tou5
嘑尔	hu4'er3
嘚啵	de1'bo5
嘟哝	du1'nong5
嘟噜	du1'lu5
嘟囔	du1'nang5
嘬嘬	chuai4'chuai4
嘬嚃	chuai4'ta4
嘬炙	chuai4'zhi4
嘲哳	chao2'zha2
嘲哳	zhao1'zha1
嘲弄	chao2'nong4
嘲讽	chao2'feng4
嘲谑	chao2'nve4
嘲谑	chao2'xue4
嘴呐	zui3'na4
嘴子	zui3'zi5
嘴巴	zui3'ba5
嘴强	zui3'jiang4
嘶哑	si1'ya3
嘶喝	si1'ye4
嘻和	xi1'he5
嘿然	mo4'ran2
嘿记	mo4'ji4
噂噆	zun3'zan3
噌吰	cheng1'hong2
噌道	ceng1'dao4
噍杀	jiao1'shai4
噏呷	xi1'xia2
噜苏	lu1'su5
噢咻	yu3'xu3
噢咿	yu3'yi1
器乐	qi4'yue4
器度	qi4'du4
器识	qi4'shi4
器重	qi4'zhong4
器量	qi4'liang4
噪聒	zao4'gua1
噭应	jiao4'ying4
噰噰	yong1'yong1
噱头	xue1'tou2
噱头	xue2'tou2
噶伦	ge2'lun2
噶厦	ga2'xia4
噶喇	ga2'la3
嚄唶	huo4'ze4
嚄嚄	huo4'huo4
嚎丧	hao2'sang5
嚏喷	ti4'fen5
嚏喷	ti4'pen5
嚓嚓	ca1'ca1
嚜嚜	mo4'mo4
嚷劈	rang3'pi1
嚷嚷	rang1'rang1
嚷嚷	rang1'rang5
嚼子	jiao2'zi5
嚼旃	jue2'zhan1
嚼用	jiao2'yong4
嚼舌	jiao2'she2
嚼蛆	jiao2'qu1
嚼蜡	jue2'la4
嚼说	jiao2'shuo1
嚼谷	jiao2'gu3
嚼齿	jiao2'chi3
嚾呼	huan1'hu1
嚾嚾	huan1'huan1
囊括	nang2'gua1
囊揣	nang1'chuai4
囊揣	nang2'chuai3
囊膪	nang1'chuai4
囔囔	nang1'nang5
囚系	qiu2'xi4
四塞	si4'sai4
四处	si4'chu4
四强	si4'qiang2
四教	si4'jiao4
四散	si4'san4
四更	si4'geng1
四海	si4'hai3
四海	si4'hai5
四相	si4'xiang4
四称	si4'cheng4
四藩	si4'fan2
四行	si4'xing4
四难	si4'nan2
回击	hui2'ji2
回去	hui2'qu5
回和	hui2'he2
回回	hui2'hui5
回头	hui2'tou2
回头	hui2'tou5
回子	hui2'zi5
回帖	hui2'tie3
回应	hui2'ying4
回折	hui2'zhe2
回教	hui2'jiao4
回旋	hui2'xuan2
回旋	hui2'xuan2
回朝	hui2'chao2
回来	hui2'lai5
回椎	hui2'chui2
回煞	hui2'sha4
回片	hui2'pian4
回穴	hui2'xue4
回空	hui2'kong1
回答	hui2'da2
回落	hui2'luo4
回跌	hui2'die2
回转	hui2'zhuan3
回转	hui2'zhuan3
回还	hui2'huan2
因为	yin1'wei4
因地	yin1'di4
因应	yin1'ying4
因数	yin1'shu4
囡仔	nan1'zi5
团子	tuan2'zi5
团弄	tuan2'nong4
团扇	tuan2'shan4
团空	tuan2'kong1
团结	tuan2'jie2
团荷	tuan2'he2
团行	tuan2'hang2
团长	tuan2'zhang3
囤塌	tun2'ta1
囤子	dun4'zi5
囤子	tun2'zi5
囤积	tun2'ji1
囤聚	tun2'ju4
园地	yuan2'di4
园子	yuan2'zi5
囮子	you2'zi5
困处	kun4'chu3
困觉	kun4'jiao4
困觉	kun4'jiao4
困难	kun4'nan5
围剿	wei2'jiao3
围子	wei2'zi5
围屏	wei2'ping2
固结	gu4'jie2
国丧	guo2'sang1
国乐	guo2'yue4
国冠	guo2'guan1
国度	guo2'du4
国教	guo2'jiao4
国朝	guo2'chao2
国片	guo2'pian4
国脉	guo2'mai4
国都	guo2'du1
国难	guo2'nan4
图度	tu2'duo4
图片	tu2'pian4
圃畦	pu3'xi1
圆作	yuan2'zuo1
圆便	yuan2'bian4
圆全	yuan2'quan5
圆和	yuan2'he2
圆圈	yuan2'quan1
圆场	yuan2'chang3
圆子	yuan2'zi5
圆寂	yuan2'ji2
圆教	yuan2'jiao4
圆活	yuan2'huo2
圆活	yuan2'huo5
圆熟	yuan2'shu2
圆笼	yuan2'long5
圈内	quan1'nei4
圈口	quan1'kou3
圈圈	quan1'quan1
圈圈	quan1'quan5
圈套	quan1'tao4
圈子	quan1'zi5
圈子	quan4'zi5
圈弄	quan1'nong4
圈数	quan1'shu4
圈槛	juan4'jian4
圈点	quan1'dian3
圈肥	juan4'fei2
圈选	quan1'xuan3
圈马	juan1'ma3
圜丘	yuan2'qiu1
圜墙	yuan2'qiang2
圜扉	yuan2'fei1
圜钟	yuan2'zhong1
土作	tu3'zuo1
土参	tu3'shen1
土地	tu3'di4
土堤	tu3'ti2
土墼	tu3'ji2
土榻	tu3'ta1
土泥	tu3'ni2
土燕	tu3'yan4
土着	tu3'zhuo2
土穴	tu3'xue4
土空	tu3'kong1
土脉	tu3'mai4
土行	tu3'hang2
土调	tu3'diao4
圣乐	sheng4'yue4
圣地	sheng4'di4
圣朝	sheng4'chao2
圣迹	sheng4'ji1
在乎	zai4'hu1
在乎	zai4'hu5
在教	zai4'jiao4
在昔	zai4'xi2
在朝	zai4'chao2
在行	zai4'hang2
圩堤	wei2'di1
圩堤	wei2'ti2
圩堤	yu2'di1
圩堤	yu2'ti2
圩子	wei2'zi5
圩子	yu2'zi5
圩田	wei2'tian2
圩田	yu2'tian2
圮地	pi3'di4
地丁	di4'ding1
地上	di4'shang5
地下	di4'xia4
地下	di4'xia5
地主	di4'zhu3
地产	di4'chan3
地亩	di4'mu3
地价	di4'jia4
地位	di4'wei4
地保	di4'bao3
地分	di4'fen4
地利	di4'li4
地力	di4'li4
地动	di4'dong4
地势	di4'shi4
地勤	di4'qin2
地匣	di4'xia2
地区	di4'qu1
地变	di4'bian4
地台	di4'tai2
地史	di4'shi3
地名	di4'ming2
地图	di4'tu2
地圈	di4'quan1
地址	di4'zhi3
地块	di4'kuai4
地坛	di4'tan2
地坪	di4'ping2
地垄	di4'long3
地垒	di4'lei3
地域	di4'yu4
地基	di4'ji1
地堑	di4'qian4
地堡	di4'bao3
地壳	di4'ke2
地壳	di4'qiao4
地处	di4'chu3
地头	di4'tou2
地契	di4'qi4
地宫	di4'gong1
地层	di4'ceng2
地岬	di4'jia3
地峡	di4'xia2
地师	di4'shi1
地带	di4'dai4
地幔	di4'man4
地底	di4'di3
地府	di4'fu3
地形	di4'xing2
地心	di4'xin1
地志	di4'zhi4
地志	di4'zhi4
地户	di4'hu4
地摊	di4'tan1
地支	di4'zhi1
地政	di4'zheng4
地方	di4'fang1
地方	di4'fang5
地望	di4'wang4
地权	di4'quan2
地板	di4'ban3
地极	di4'ji2
地柱	di4'zhu4
地标	di4'biao1
地核	di4'he2
地棍	di4'gun4
地步	di4'bu4
地段	di4'duan4
地毡	di4'zhan1
地毯	di4'tan3
地沟	di4'gou1
地洞	di4'dong4
地滑	di4'hua2
地漏	di4'lou4
地灵	di4'ling2
地炉	di4'lu2
地炕	di4'kang4
地点	di4'dian3
地热	di4're4
地煞	di4'sha4
地牢	di4'lao2
地狱	di4'yu4
地球	di4'qiu2
地理	di4'li3
地瓜	di4'gua1
地界	di4'jie4
地痞	di4'pi3
地癖	di4'pi3
地皮	di4'pi2
地盘	di4'pan2
地目	di4'mu4
地着	di4'zhuo2
地砖	di4'zhuan1
地磁	di4'ci2
地磅	di4'bang4
地祇	di4'qi2
地租	di4'zu1
地秤	di4'cheng4
地积	di4'ji1
地税	di4'shui4
地窖	di4'jiao4
地籁	di4'lai4
地籍	di4'ji2
地级	di4'ji2
地线	di4'xian4
地经	di4'jing1
地维	di4'wei2
地缘	di4'yuan2
地脉	di4'mai4
地脊	di4'ji3
地脚	di4'jiao3
地舆	di4'yu2
地荒	di4'huang1
地藏	di4'zang4
地蜡	di4'la4
地衣	di4'yi1
地表	di4'biao3
地角	di4'jiao3
地貌	di4'mao4
地质	di4'zhi2
地质	di4'zhi4
地轴	di4'zhou2
地速	di4'su4
地道	di4'dao4
地道	di4'dao5
地邻	di4'lin2
地里	di4'li3
地钱	di4'qian2
地铁	di4'tie3
地铺	di4'pu4
地陷	di4'xian4
地雷	di4'lei2
地震	di4'zhen4
地面	di4'mian4
地黄	di4'huang2
地龙	di4'long2
圳沟	zun4'gou1
场内	chang2'nei4
场圃	chang2'pu3
场地	chang2'di4
场地	chang3'di4
场子	chang2'zi5
场子	chang3'zi5
场屋	chang2'wu1
场师	chang2'shi1
场户	chang2'hu4
场期	chang2'qi2
场次	chang2'ci4
场记	chang2'ji4
场论	chang3'lun4
场院	chang2'yuan4
场馆	chang3'guan3
均分	jun1'fen1
均差	jun1'cha1
坊子	fang1'zi3
坊子	fang1'zi5
坊曲	fang1'qu1
坊记	fang2'ji4
坊间	fang1'jian1
坍落	tan1'luo4
坎儿	kan3'r5
坎子	kan3'zi5
坏处	huai4'chu4
坏处	huai4'chu5
坏种	huai4'zhong3
坐下	zuo4'xia4
坐下	zuo4'xia5
坐地	zuo4'di4
坐头	zuo4'tou5
坐实	zuo4'shi5
坐性	zuo4'xing5
坐更	zuo4'geng1
坐落	zuo4'luo4
坐贾	zuo4'gu3
坐间	zuo4'jian1
坐骑	zuo4'ji4
坑埋	keng1'mai2
坑子	keng1'zi5
坑蒙	keng1'meng2
块菌	kuai4'jun4
坚劲	jian1'jing4
坚强	jian1'qiang2
坚称	jian1'cheng1
坛场	tan2'chang2
坛子	tan2'zi5
坝子	ba4'zi5
坟地	fen2'di4
坠地	zhui4'di4
坠子	zhui4'zi5
坠落	zhui4'luo4
坡地	po1'di4
坡度	po1'du4
坡撇	po1'pie3
坤角	kun1'jue2
坦率	tan3'shuai4
坦迤	tan3'yi3
坦露	tan3'lou4
坨儿	tuo2'r5
坨子	tuo2'zi5
坪场	ping2'chang2
坯体	pei1'ti3
坯子	pei1'zi5
坯布	pei1'bu4
坯料	pei1'liao4
坯模	pi1'mo2
坳堂	ao1'tang2
坳塘	ao1'tang2
坼副	che4'pi4
垂危	chui2'wei2
垂发	chui2'fa3
垂教	chui2'jiao4
垂落	chui2'luo4
垂露	chui2'lu4
垓埏	gai1'yan2
垛口	duo3'kou3
垛句	duo4'ju4
垛子	duo3'zi5
垛字	duo4'zi4
垛积	duo4'ji1
垡子	fa2'zi5
垢泥	gou4'ni2
垣曲	yuan2'qu3
垦地	ken3'di4
垫子	dian4'zi5
垫没	dian4'mo4
垫片	dian4'pian4
垫脚	dian4'jiao3
垫脚	dian4'jiao5
垫补	dian4'bu3
垫补	dian4'bu5
垫解	dian4'jie4
垸子	huan2'zi5
埂堤	geng3'ti2
埂子	geng3'zi5
埋伏	mai2'fu2
埋冤	man2'yuan1
埋单	mai2'dan1
埋名	mai2'ming2
埋头	mai2'tou2
埋忧	mai2'you1
埋怨	man2'yuan4
埋情	mai2'qing2
埋根	mai2'gen1
埋殡	mai2'bin4
埋没	mai2'mo4
埋照	mai2'zhao4
埋玉	mai2'yu4
埋线	mai2'xian4
埋葬	mai2'zang4
埋藏	mai2'cang2
埋蛊	mai2'gu3
埋设	mai2'she4
埋轮	mai2'lun2
埋铭	mai2'ming2
埋首	mai2'shou3
埋香	mai2'xiang1
埋骨	mai2'gu3
城铺	cheng2'pu4
城阙	cheng2'que4
埏埴	shan1'zhi2
埏隧	yan2'sui4
埔心	bu4'xin1
埔盐	bu4'yan2
埔里	bu4'li3
埠头	bu4'tou5
埤堄	bi4'ni2
埤堄	pi4'ni2
埤湿	bi4'shi1
埳轲	kan3'ke1
培𪣻		pou3'lou3
基地	ji1'di4
基数	ji1'shu4
基调	ji1'diao4
埻端	zhun3'duan1
堀堁	ku1'ke3
堂姊	tang2'jie3
堂姊	tang2'zi3
堂子	tang2'zi5
堂客	tang2'ke5
堂帖	tang2'tie3
堂庑	tang2'wu3
堆垛	dui1'duo4
堆子	dui1'zi5
堆贮	dui1'zhu3
堋的	peng2'di4
堕地	duo4'di4
堕落	duo4'luo4
堤坝	ti2'ba4
堤封	ti2'feng1
堤岸	ti2'an4
堤防	ti2'fang2
堪称	kan1'cheng1
堵丧	du3'sang5
堵塞	du3'se4
塌实	ta1'shi5
塌趿	ta1'sa4
塔刹	ta3'cha4
塔扎	ta3'za1
塘坳	tang2'ao1
塞住	sai1'zhu4
塞内	sai4'nei4
塞北	sai4'bei3
塞声	se4'sheng1
塞外	sai4'wai4
塞子	sai1'zi5
塞尚	se4'shang4
塞尺	sai1'chi3
塞族	sai1'zu2
塞渊	sai1'yuan1
塞渊	se4'yuan1
塞满	sai1'man3
塞牙	sai1'ya2
塞给	sai1'gei3
塞耳	sai1'er3
塞耳	se4'er3
塞职	se4'zhi2
塞话	sai1'hua4
塞语	sai4'yu3
塞责	se4'ze2
塞车	sai1'che1
塞门	sai4'men2
塞门	se4'men2
塞音	se4'yin1
填咽	tian2'ye4
填塞	tian2'se4
填空	tian2'kong4
填还	tian2'huan2
塬地	yuan2'di4
境地	jing4'di4
墓地	mu4'di4
墓穴	mu4'xue4
增强	zeng1'qiang2
增量	zeng1'liang4
增长	zeng1'zhang3
墟落	xu1'luo4
墦间	fan2'jian1
墨卷	mo4'juan4
墨晕	mo4'yun4
墨杘	mo4'chi1
墨突	mo4'tu2
墨累	mo4'lei4
墨翟	mo4'di2
墨荷	mo4'he2
墨迹	mo4'ji1
墩子	dun1'zi5
壁宿	bi4'xiu4
壁落	bi4'luo4
壅塞	yong1'se4
壑谷	huo4'gu3
壝埒	wei3'le4
壤地	rang3'di4
壤父	rang3'fu3
士子	shi4'zi3
士子	shi4'zi5
壮盛	zhuang4'sheng4
声乐	sheng1'yue4
声卡	sheng1'ka3
声呐	sheng1'na4
声息	sheng1'xi2
声教	sheng1'jiao4
声称	sheng1'cheng1
声量	sheng1'liang4
声闻	sheng1'wen2
声闻	sheng1'wen4
壳儿	ke2'r5
壳子	ke2'zi5
壳幔	ke2'man4
壳果	ke2'guo3
壳牌	qiao4'pai2
壳质	qiao4'zhi2
壳质	qiao4'zhi4
壶浆	hu2'jiang1
壶穴	hu2'xue4
处世	chu3'shi4
处事	chu3'shi4
处于	chu3'yu2
处决	chu3'jue2
处分	chu3'fen4
处刑	chu3'xing2
处境	chu3'jing4
处士	chu3'shi4
处处	chu4'chu4
处女	chu3'nv3
处子	chu3'zi3
处室	chu3'shi4
处斩	chu3'zhan3
处断	chu3'duan4
处方	chu3'fang1
处暑	chu3'shu3
处死	chu3'si3
处治	chu3'zhi4
处理	chu3'li3
处男	chu3'nan2
处约	chu3'yue1
处罚	chu3'fa2
处置	chu3'zhi4
处身	chu3'shen1
处长	chu4'zhang3
处馆	chu3'guan3
复仇	fu4'chou2
复兴	fu4'xing1
复帱	fu4'dao4
复数	fu4'shu4
复校	fu4'jiao4
复瓿	fu4'pou3
复种	fu4'zhong4
复称	fu4'cheng1
复穴	fu4'xue4
复转	fu4'zhuan3
复辟	fu4'bi4
复露	fu4'lu4
夏朝	xia4'chao2
夏楚	jia3'chu3
夏正	xia4'zheng1
夏畦	xia4'xi1
夏长	xia4'zhang3
夕惕	xi4'ti4
夕拜	xi4'bai4
夕日	xi4'ri4
夕晖	xi4'hui1
夕暮	xi4'mu4
夕曛	xi4'xun1
夕月	xi4'yue4
夕烟	xi4'yan1
夕照	xi4'zhao4
夕阳	xi4'yang2
外亲	wai4'qin1
外传	wai4'zhuan4
外卡	wai4'ka3
外地	wai4'di4
外埔	wai4'bu4
外壳	wai4'ke2
外外	wai4'wai5
外头	wai4'tou5
外宿	wai4'su4
外教	wai4'jiao4
外相	wai4'xiang4
外膜	wai4'mo4
外蒙	wai4'meng2
外藩	wai4'fan2
外行	wai4'hang2
外调	wai4'diao4
外路	wai4'lu5
外边	wai4'bian1
外边	wai4'bian5
外道	wai4'dao4
外道	wai4'dao5
外长	wai4'zhang3
外间	wai4'jian1
外露	wai4'lu4
外面	wai4'mian4
外面	wai4'mian5
夙仇	su4'chou2
夙兴	su4'xing1
夙昔	su4'xi2
多个	duo1'ge5
多么	duo2'me5
多分	duo1'fen4
多咱	duo1'zan2
多嫌	duo1'xian5
多少	duo1'shao3
多少	duo1'shao5
多得	duo1'de2
多数	duo1'shu4
多模	duo1'mo2
多种	duo1'zhong3
多累	duo1'lei4
多重	duo1'chong2
多量	duo1'liang4
多难	duo1'nan4
多露	duo1'lu4
夜作	ye4'zuo5
夜分	ye4'fen1
夜叉	ye4'cha1
夜叉	ye4'cha4
夜场	ye4'chang2
夜曲	ye4'qu3
夜校	ye4'xiao4
夜燕	ye4'yan4
夜空	ye4'kong1
夜行	ye4'xing2
夜里	ye4'li5
夜间	ye4'jian1
够劲	gou4'jin4
够呛	gou4'qiang4
够戗	gou4'qiang4
够数	gou4'shu4
大丧	da4'sang1
大乘	da4'sheng4
大人	da4'ren2
大人	da4'ren5
大便	da4'bian4
大兴	da4'xing1
大冲	da4'chong1
大分	da4'fen4
大卡	da4'ka3
大叔	da4'shu2
大古	dai4'gu3
大和	da4'he2
大喝	da4'he4
大圜	da4'yuan2
大地	da4'di4
大埔	da4'bu4
大壑	da4'huo4
大处	da4'chu4
大夫	da4'fu1
大夫	dai4'fu5
大姊	da4'jie3
大学	da4'xue2
大学	tai4'xue2
大宁	da4'ning2
大宛	da4'yuan1
大家	da4'gu1
大家	da4'jia1
大将	da4'jiang4
大差	da4'chai1
大庙	tai4'miao4
大度	da4'du4
大恶	da4'e4
大意	da4'yi4
大意	da4'yi5
大挑	da4'tiao1
大故	da4'gu4
大故	dai4'gu4
大敛	da4'lian4
大数	da4'shu4
大方	da4'fang1
大方	da4'fang5
大曲	da4'qu2
大曲	da4'qu3
大杠	da4'gang4
大楷	da4'kai3
大汗	da4'han2
大汗	da4'han4
大煞	da4'sha4
大熟	da4'shu2
大爷	da4'ye2
大爷	da4'ye5
大片	da4'pian4
大王	da4'wang2
大王	dai4'wang5
大肚	da4'du4
大落	da4'luo4
大蜡	da4'zha4
大行	da4'xing2
大调	da4'diao4
大贾	da4'gu3
大辟	da4'pi4
大都	da4'du1
大量	da4'liang4
大难	da4'nan4
大黄	dai4'huang2
天儿	tian1'r5
天分	tian1'fen4
天和	tian1'he2
天哪	tian1'na3
天地	tian1'di4
天媛	tian1'yuan4
天宁	tian1'ning2
天将	tian1'jiang4
天干	tian1'gan1
天数	tian1'shu4
天朝	tian1'chao2
天灵	tian1'ling5
天监	tian1'jian1
天秤	tian1'ping2
天空	tian1'kong1
天竺	tian1'zhu2
天行	tian1'xing2
天道	tian1'dao4
天道	tian1'dao5
天都	tian1'du1
天长	tian1'chang2
天阙	tian1'que4
太兴	tai4'xing1
太叔	tai4'shu2
太和	tai4'he2
太太	tai4'tai5
太宁	tai4'ning2
太息	tai4'xi2
太监	tai4'jian4
太空	tai4'kong1
太重	tai4'zhong4
太长	tai4'chang2
太阿	tai4'e1
夫人	fu1'ren2
夫人	fu1'ren5
夫子	fu1'zi3
夫子	fu1'zi5
夫差	fu2'chai1
夭亡	yao3'wang2
夭娜	yao1'nuo2
夭折	yao1'zhe2
夭折	yao3'zhe2
夭昏	yao3'hun1
夭札	yao3'zha2
夭枉	yao3'wang3
夭殂	yao3'cu2
夭殒	yao3'yun3
夭矫	yao1'jiao3
夭逝	yao3'shi4
夭遏	yao3'e4
夭邪	yao1'xia2
夭阏	yao3'e4
央告	yang1'gao5
央戗	yang1'qiang5
央行	yang1'hang2
夯子	hang1'zi5
夯货	ben4'huo4
夯货	hang1'huo4
失传	shi1'chuan2
失和	shi1'he2
失地	shi1'di4
失当	shi1'dang4
失散	shi1'san4
失期	shi1'qi2
失灭	shi1'mie5
失着	shi1'zhao1
失脱	shi1'tuo5
失落	shi1'luo4
失血	shi1'xie3
失贼	shi1'ze2
失重	shi1'zhong4
失闪	shi1'shan5
头儿	tou2'r5
头冠	tou2'guan1
头匹	tou2'pi1
头发	tou2'fa3
头发	tou2'fa5
头场	tou2'chang2
头头	tou2'tou2
头头	tou2'tou5
